category,period,n_transactions,n_suppliers,total_spend,spend_share_within_period_pct,anomaly_rate_pct,new_supplier_rate_pct,hhi
PHARMACY,pre_covid,53,9,1880403.32,0.007,1.887,3.774,1955.0
PHARMACY PILGRIM,covid,14,3,554569.5900000001,0.001,0.0,0.0,5301.8
PHARMACY PILGRIM,pre_covid,68,5,2581386.81,0.009,0.0,2.941,3663.3
PHOTOCOPIER MACHINES,pre_covid,3,1,237072.0,0.001,0.0,0.0,10000.0
PLUMBING WORKS,pre_covid,1,1,32471.39,0.0,0.0,100.0,10000.0
POST MAR 95 RETIREMENTS < 1 Yr,covid,1,1,18441.73,0.0,0.0,0.0,10000.0
POSTAGE,covid,3,1,90000.0,0.0,0.0,33.333,10000.0
POSTAGE,pre_covid,5,1,230000.0,0.001,0.0,20.0,10000.0
PRE MAR 95 RETIREMENTS < 1 Yr,covid,1,1,6940.6,0.0,0.0,100.0,10000.0
PRINTING AND STATIONERY,pre_covid,2,2,35034.01,0.0,0.0,50.0,9535.2
PROPERTY LEASE,covid,4,1,404165.78,0.001,0.0,0.0,10000.0
PROPERTY LEASE,pre_covid,4,1,147273.69999999998,0.001,0.0,0.0,10000.0
